Date,Post ID,Format,Pillar,Hook / Theme,Views,Reach,Likes,Comments,Shares,Saves,Follows,ER (reach),Views/Reach,Days Live,Link
2026-06-18,17975550228059909,Reel,P2,Caffeine doesn't give you energy.,,9,8,3,0,0,,122.22%,0.00,1,https://www.instagram.com/reel/DZuE74MAora/
2026-06-17,18098871740135200,Reel,P3,I didn't write a script for this one.,,465,56,17,4,2,,16.13%,0.00,1,https://www.instagram.com/reel/DZr0_RSgCCj/
2026-06-16,18016776899701061,Reel,P3,Most functional coffee brands charge $30 or more for a bag. Some go higher.,,270,18,2,3,0,,7.41%,0.00,2,https://www.instagram.com/reel/DZpmSdCFLvh/
2026-06-09,18314318368302664,Carousel,P2,Your coffee might be the reason you feel wired and scattered by 9am.,,1,0,0,0,0,0,0.00%,0.00,0,https://www.instagram.com/p/DZW5AJ-DTM-/
2026-06-09,18119180509688591,Carousel,P2,Your coffee might be the reason you feel wired and scattered by 9am.,,30,1,0,1,0,0,3.33%,0.00,9,https://www.instagram.com/p/DZXLhQRDbEG/
2026-06-05,18059239346708689,Reel,P6,"Awesome moments, great talks and connections! Tks Startup CPG for the opportunit",,143,16,4,2,0,,13.99%,0.00,13,https://www.instagram.com/reel/DZNotKlMlOz/
2026-06-02,18118416142773864,Carousel,P2,Your coffee isn't weak.,,49,3,0,2,0,1,6.12%,0.00,16,https://www.instagram.com/p/DZFSHWzGcuF/
2026-05-29,18094805066184054,Carousel,P5,"Most reviews are written at the peak of the hype — the day the package arrives, ",,27,1,0,1,0,0,3.70%,0.00,20,https://www.instagram.com/p/DY642cjlvvF/
2026-05-28,18070121801494614,Reel,P3,Most CPG founders treat AI like a shortcut they’re embarrassed to mention. I bui,,157,15,7,0,0,,14.01%,0.00,21,https://www.instagram.com/reel/DY5Ovo-MWCL/
2026-05-27,18086076839570443,Carousel,P3,Most supplement formulas are built on guesswork. An ingredient list that looks c,,77,1,0,2,0,0,1.30%,0.00,22,https://www.instagram.com/p/DY16zC5FsLO/
2026-05-22,18557953942065795,Carousel,P6,$0.73 a morning — 11 ingredients to hold energy steady,131,81,2,0,1,0,0,2.47%,1.62x,27,https://www.instagram.com/p/DYo1TCWE2Jj/
2026-05-20,18036142016804124,Reel,P3,Ironman prep — I built Power Coffee because my mornings kept falling apart,438,279,12,1,3,0,0,4.66%,1.57x,29,https://www.instagram.com/reel/DYj8BcokV3M/
2026-05-19,17987801942816456,Carousel,P2,Pea Protein — The real reason you crash at 11am,95,45,1,0,1,0,0,2.22%,2.11x,30,https://www.instagram.com/p/DYhe3DFlXUO/
2026-05-15,18112890814657823,Carousel,P1,YOUR BEST MONDAY STARTS THIS FRIDAY,96,56,2,0,1,1,1,5.36%,1.71x,35,https://www.instagram.com/p/DYWhJ5_IMQ1/
2026-05-12,18102970708974467,Carousel,P2,Ginkgo Biloba — Clean energy isn't just caffeine,79,50,4,0,1,0,0,8.00%,1.58x,37,https://www.instagram.com/p/DYPFKcMjpzK/
2026-05-11,18101353487050647,Carousel,P2,Ginkgo Biloba — Your coffee wakes you up. Ginkgo makes you sharp.,102,57,6,0,1,0,0,10.53%,1.79x,38,https://www.instagram.com/p/DYMufKZjiSM/
2026-05-07,17947062197999687,Reel,P3,One sip. All day energy!,250,161,11,0,2,0,0,6.83%,1.55x,42,https://www.instagram.com/reel/DYCwuGfMU_y/
2026-05-04,18064129700394859,Carousel,P1,You're not tired because you need more coffee,554,235,9,1,4,0,0,4.26%,2.36x,45,https://www.instagram.com/p/DX7E-WFlXQe/
2026-04-18,18080044067197871,Carousel,,The first sip is a 15-second sequence.,,124,4,0,3,0,0,3.23%,0.00,61,https://www.instagram.com/p/DXSVaekFS2s/
2026-04-09,17905705815220068,Reel,,That simple recipe that will help you boost your productivity after lunch. 1 sco,,195,2,0,1,0,,1.03%,0.00,70,https://www.instagram.com/reel/DW7RbYkjFiJ/
2026-03-30,18095672620845553,Reel,,Why quit coffee for mushrooms?,,240,9,1,4,0,,4.17%,0.00,80,https://www.instagram.com/reel/DWhAbAEDBct/
2026-03-29,18127801444560657,Carousel,,Most people wake up already behind.,,72,2,0,1,0,0,2.78%,0.00,82,https://www.instagram.com/p/DWc2TAKlcDM/
2026-03-23,17868701802491679,Reel,,Some mornings the only thing between you and a great day is one quiet decision.,,152,4,1,1,0,,3.29%,0.00,87,https://www.instagram.com/reel/DWO5C2HjOjk/
2026-03-20,18047000327512046,Carousel,,Everyone’s telling you to quit coffee.,,94,0,0,2,0,0,0.00%,0.00,79,https://www.instagram.com/p/DWH5AXnlV1X/
2026-03-10,18079987430614709,Carousel,,Most supplements hide behind sweet flavors and fancy packaging.,,154,7,1,2,0,0,5.19%,0.00,100,https://www.instagram.com/p/DVtv2gBFScm/
2026-03-06,17989842977941130,Carousel,,Your coffee is working against you — and you don’t even know it. ☕⚡,,140,4,2,4,0,0,4.29%,0.00,104,https://www.instagram.com/p/DVi4wZ9lfyc/
2026-03-05,18104322898858105,Reel,,Your problem it’s not caffeine! It’s the way you used. Your regular can be optim,,271,18,0,0,0,,6.64%,0.00,106,https://www.instagram.com/reel/DVe3QvgDCQs/
2026-03-03,18012538526821509,Reel,,Your afternoon crash has nothing to do with sleep.,,251,7,1,2,0,,3.19%,0.00,107,https://www.instagram.com/reel/DVbVAydDLgy/
2026-02-28,17878214049498659,Post,,Your morning sets the tone for everything that follows.,,220,5,0,3,0,0,2.27%,0.00,110,https://www.instagram.com/p/DVUVpwojLzD/
2026-02-19,18121552126579913,Carousel,,What if your coffee actually helped you focus instead of destroying it?,,110,5,0,3,0,0,4.55%,0.00,119,https://www.instagram.com/p/DU8QB_RlSpf/
2026-02-12,18143582551473311,Post,,Break the cycle! 3 cups by lunch and still exhausted? There’s a better way. That,,77,0,0,3,0,0,0.00%,0.00,126,https://www.instagram.com/p/DUqamqujAzm/
2026-02-09,18067939784198534,Carousel,,You’re not lazy.,,118,5,1,0,0,0,5.08%,0.00,129,https://www.instagram.com/p/DUjAHwtlYce/
2026-02-03,18064376249288470,Carousel,,Most people think coffee is just caffeine. It’s not.,,192,16,0,3,3,0,9.90%,0.00,135,https://www.instagram.com/p/DUT_rhhlWym/
2026-01-29,17961382356041081,Reel,,Morning hack! Iced cappuccino made with honey and The Power Coffee.,,209,4,1,1,0,,2.39%,0.00,140,https://www.instagram.com/reel/DUGQTOuDLhB/
2026-01-21,18104675503700383,Reel,,One awesome recipe for that days when you want something different. Caramel latt,,272,10,4,1,0,,5.15%,0.00,148,https://www.instagram.com/reel/DTydJi9DLlR/
2026-01-01,18331365352208475,Post,,"This year isn’t about setting goals, it’s about execution. It’s about turning th",,92,4,1,1,0,1,5.43%,0.00,169,https://www.instagram.com/p/DS88MOoFV7p/
2025-12-30,18229421065307343,Carousel,,We’ve compiled the core habits that truly transform your energy and focus. These,,63,4,1,1,0,0,7.94%,0.00,170,https://www.instagram.com/p/DS48-nolab3/
2025-12-25,17936864361106143,Post,,Wishing you the absolute best this holiday season!,,62,3,0,1,0,0,4.84%,0.00,176,https://www.instagram.com/p/DSq6nboFQKJ/
2025-12-22,18058549808309450,Carousel,,Power Coffee is the essential fuel for your ambitious holiday season!,,104,6,1,4,1,0,7.69%,0.00,178,https://www.instagram.com/p/DSkPPN5lfTi/
2025-12-20,17886944433286154,Post,,"If your regular cup is leaving you with the jitters and the inevitable crash, it",,126,3,0,2,0,0,2.38%,0.00,180,https://www.instagram.com/p/DSfFoknFY3F/
2025-12-19,18390234961198678,Carousel,,"We know the feeling: “I don’t have energy,” “I need more focus,” “I need to be m",,141,5,1,4,0,0,4.26%,0.00,181,https://www.instagram.com/p/DSdAUc-FV9z/
2025-12-13,18320384821171834,Post,,We know how much you love your morning ritual. That’s why Power Coffee is design,,101,3,0,1,0,0,2.97%,0.00,187,https://www.instagram.com/p/DSNCaQFlSoK/
2025-12-12,18117831700564617,Reel,,We are so grateful! Thank you for sharing your amazing experience with Power Cof,,220,5,2,1,0,,3.18%,0.00,188,https://www.instagram.com/reel/DSLK7lBjMhD/
2025-12-05,18120416605550701,Reel,,Power Coffee was created because the hustle of modern life demands more than tra,,322,7,2,3,0,,2.80%,0.00,195,https://www.instagram.com/reel/DR4-AMQjGSF/
2025-12-04,18112235017611372,Post,,"Your ambition is high, but your fuel needs to match. Stop relying on luck to hit",,106,6,1,2,0,0,6.60%,0.00,196,https://www.instagram.com/p/DR2laD1lWX5/
2025-11-28,18112232080594142,Reel,,We are so grateful! Thank you for sharing your amazing experience with Power Cof,,473,15,2,4,0,,3.59%,0.00,202,https://www.instagram.com/reel/DRnLF8kDM6A/
2025-11-27,18397023403131208,Post,,"It’s Thanksgiving: time to feast, not fall asleep!",,119,6,1,2,0,0,5.88%,0.00,203,https://www.instagram.com/p/DRkW2S_EYjB/
2025-11-21,17926253748152274,Carousel,,Stop wishing for energy and start using it.,,135,5,0,3,0,0,3.70%,0.00,209,https://www.instagram.com/p/DRUY25JDmG2/
2025-11-20,17924697537171820,Post,,This is the opportunity to supercharge your routine without paying for shipping!,,174,7,1,4,0,0,4.60%,0.00,210,https://www.instagram.com/p/DRSMsQ9Dn1k/
2025-11-14,18003945041670048,Reel,,This coffee shake is gonna give you sustained energy and disposition throughout ,,280,3,0,2,0,,1.07%,0.00,216,https://www.instagram.com/reel/DRDD75FjGUh/
2025-11-12,17845758006608051,Post,,Power Coffee is the smart supplement designed to be the partner your favorite dr,,152,4,1,5,0,0,3.29%,0.00,218,https://www.instagram.com/p/DQ9cm_bFRQQ/
2025-11-06,18009617045643068,Post,,Don’t just add flavor. Add ENERGY!,,129,4,1,3,0,0,3.88%,0.00,224,https://www.instagram.com/p/DQuY8u0lSvS/
2025-11-05,17914742478214372,Carousel,,We feel you. That exhausted morning drag is real. But if your coffee is giving y,,182,4,0,5,0,0,2.20%,0.00,225,https://www.instagram.com/p/DQr2jQdDowL/
2025-10-31,18070335572198570,Post,,"Your best energy isn’t magic, it’s routine.",,254,8,1,2,0,0,3.54%,0.00,230,https://www.instagram.com/p/DQemixFjfru/
2025-10-29,18072673217241325,Reel,,"The only question is: Will you stay the same, or step into your peak performance",,137,5,1,2,0,,4.38%,0.00,232,https://www.instagram.com/reel/DQZd4VsjT7h/
2025-10-23,18109242766593877,Carousel,,Our body is already giving you a powerful dose of natural energy (cortisol).,,50,4,1,1,0,0,10.00%,0.00,238,https://www.instagram.com/p/DQKNrrzjvz0/
2025-10-21,18064272554118372,Reel,,Iced Caramel Latte with Power Coffee 🤎,,124,1,0,0,0,,0.81%,0.00,240,https://www.instagram.com/reel/DQFEyZWjt6V/
2025-10-20,18080087006011588,Reel,,Iced Caramel Latte with Power Coffee 🤎,,313,10,1,3,0,,3.51%,0.00,241,https://www.instagram.com/reel/DQCg9_aDR3C/
2025-10-17,18018430091601204,Reel,,"Such a powerful testimonial! Thank you, @ricardolemosbusiness 🤎⚡️",,661,23,4,4,0,,4.08%,0.00,244,https://www.instagram.com/reel/DP6silvjdil/
2025-10-16,17968175375813453,Carousel,,Power Coffee isn’t just a supplement; it’s your daily boost to fight tiredness a,,166,8,2,3,0,0,6.02%,0.00,245,https://www.instagram.com/p/DP4rL4-jkXo/
2025-10-10,18160888870346474,Post,,Don’t settle for less.,,228,8,4,2,1,0,5.70%,0.00,251,https://www.instagram.com/p/DPpWnhekb4u/
2025-10-08,18076881341123591,Carousel,,"Every great product starts with a real problem. For our founder, Leonardo Lacerd",,464,20,1,5,0,1,4.53%,0.00,253,https://www.instagram.com/p/DPkFPRmkpeT/
